source_row,anomaly_id,severity,description,original_value,resolved_value,resolution,resolved_at
5,"A1","review_required","Likely duplicate detected between Row 5 (Dinner at Marina Bites - ₹3200) and Row 6 (dinner - marina bites - ₹3200).","{""id"":""A1-rows-5-6"",""type"":""duplicate"",""options"":[{""id"":""keep_row_5"",""label"":""Keep row 5 (₹3200)""},{""id"":""keep_row_6"",""label"":""Keep row 6 (₹3200)""},{""id"":""keep_both"",""label"":""Keep both transactions""}],""summary"":""Likely duplicate detected between Row 5 (Dinner at Marina Bites - ₹3200) and Row 6 (dinner - marina bites - ₹3200)."",""row_refs"":[5,6],""recommended_option_id"":""keep_row_5""}","","Keep row 5","2026-06-14T17:52:44.915Z"
7,"A6","auto_fixed","Cleaned thousands separators / formatting in amount from '1,200' to '1200'.","{""amount"":""1,200""}","{""amount"":1200}","","2026-06-14T17:52:44.897Z"
9,"A11","auto_fixed","Normalized inconsistent casing/whitespace in payer name from 'priya' to 'Priya'.","{""paid_by"":""priya""}","{""paid_by"":""Priya""}","","2026-06-14T17:52:44.897Z"
10,"A7","auto_fixed","Rounded excess precision amount '899.995' to standard two decimals '900'.","{""amount"":899.995}","{""amount"":900}","","2026-06-14T17:52:44.897Z"
11,"A12","review_required","Row 11 ('Groceries DMart'): Unknown payer 'Priya S'.","{""id"":""A12-row-11"",""type"":""identity_match"",""options"":[{""id"":""confirm_payer_1"",""label"":""Map to member 'Aisha'""},{""id"":""confirm_payer_2"",""label"":""Map to member 'Rohan'""},{""id"":""confirm_payer_3"",""label"":""Map to member 'Priya'""},{""id"":""confirm_payer_4"",""label"":""Map to member 'Meera'""},{""id"":""confirm_payer_5"",""label"":""Map to member 'Sam'""},{""id"":""confirm_payer_6"",""label"":""Map to member 'Dev'""},{""id"":""confirm_payer_7"",""label"":""Map to member 'Kabir'""},{""id"":""create_guest"",""label"":""Create new guest user 'Priya S'""}],""summary"":""Row 11 ('Groceries DMart'): Unknown payer 'Priya S'."",""row_refs"":[11],""recommended_option_id"":""confirm_payer_3""}","","Map to member Priya","2026-06-14T17:52:44.901Z"
13,"A10","review_required","Row 13 ('House cleaning supplies'): No payer specified.","{""id"":""A10-row-13"",""type"":""missing_payer"",""options"":[{""id"":""payer_1"",""label"":""Set payer as Aisha""},{""id"":""payer_2"",""label"":""Set payer as Rohan""},{""id"":""payer_3"",""label"":""Set payer as Priya""},{""id"":""payer_4"",""label"":""Set payer as Meera""},{""id"":""payer_5"",""label"":""Set payer as Sam""},{""id"":""write_off"",""label"":""Treat as write-off (split cost, no creditor)""}],""summary"":""Row 13 ('House cleaning supplies'): No payer specified."",""row_refs"":[13],""recommended_option_id"":""write_off""}","","Treat as write-off","2026-06-14T17:52:44.904Z"
14,"A3","review_required","Row 14 ('Rohan paid Aisha back'): Logged as expense but notes suggest it is a transfer/deposit.","{""id"":""A3-row-14"",""type"":""settlement_or_transfer"",""options"":[{""id"":""convert_to_transfer"",""label"":""Record as direct Transfer (Settlement)""},{""id"":""keep_as_expense"",""label"":""Keep as shared Expense""}],""summary"":""Row 14 ('Rohan paid Aisha back'): Logged as expense but notes suggest it is a transfer/deposit."",""row_refs"":[14],""recommended_option_id"":""convert_to_transfer""}","","Record as direct Transfer","2026-06-14T17:52:44.905Z"
15,"A18","auto_fixed","Normalized percentage split that did not sum to 100% (sum was 110%). Re-scaled to 100%.","{""split_details"":""Aisha 30%; Rohan 30%; Priya 30%; Meera 20%""}","{""split_details"":""Aisha 27.27%; Rohan 27.27%; Priya 27.27%; Meera 18.18%""}","","2026-06-14T17:52:44.897Z"
20,"A9","auto_fixed","Converted USD amount $540 to INR ₹49842 using historical rate 92.3 for date 2026-03-09.","{""amount"":540,""currency"":""USD""}","{""currency"":""INR"",""amountInr"":49842,""exchangeRate"":92.3}","","2026-06-14T17:52:44.897Z"
21,"A9","auto_fixed","Converted USD amount $84 to INR ₹7724.64 using historical rate 91.96 for date 2026-03-10.","{""amount"":84,""currency"":""USD""}","{""currency"":""INR"",""amountInr"":7724.64,""exchangeRate"":91.96}","","2026-06-14T17:52:44.897Z"
23,"A9","auto_fixed","Converted USD amount $150 to INR ₹13810.5 using historical rate 92.07 for date 2026-03-11.","{""amount"":150,""currency"":""USD""}","{""currency"":""INR"",""amountInr"":13810.5,""exchangeRate"":92.07}","","2026-06-14T17:52:44.897Z"
23,"A17","review_required","Row 23 ('Parasailing'): External guest 'Dev's friend Kabir' included in split.","{""id"":""A17-row-23-guest-Dev's_friend_Kabir"",""type"":""external_guest"",""options"":[{""id"":""absorb_into_host"",""label"":""Absorb guest share into host's split (absorb into Dev)""},{""id"":""split_among_flatmates"",""label"":""Distribute guest share equally among active flatmates""},{""id"":""add_guest_user"",""label"":""Create guest user profile for 'Dev's friend Kabir' and split normally""}],""summary"":""Row 23 ('Parasailing'): External guest 'Dev's friend Kabir' included in split."",""row_refs"":[23],""recommended_option_id"":""absorb_into_host""}","","Absorb guest share into host Dev","2026-06-14T17:52:44.907Z"
24,"A2","review_required","Conflicting duplicate detected between Row 24 (Dinner at Thalassa paid by Aisha - ₹2400) and Row 25 (Thalassa dinner paid by Rohan - ₹2450).","{""id"":""A2-rows-24-25"",""type"":""duplicate"",""options"":[{""id"":""keep_row_24"",""label"":""Keep row 24 (₹2400)""},{""id"":""keep_row_25"",""label"":""Keep row 25 (₹2450)""},{""id"":""keep_both"",""label"":""Keep both transactions""}],""summary"":""Conflicting duplicate detected between Row 24 (Dinner at Thalassa paid by Aisha - ₹2400) and Row 25 (Thalassa dinner paid by Rohan - ₹2450)."",""row_refs"":[24,25],""recommended_option_id"":""keep_row_25""}","","Excluded in favor of other duplicate row","2026-06-14T17:52:44.916Z"
26,"A4","auto_fixed","Negative amount 'Parasailing refund' treated as credit/refund split.","{""amount"":""-30""}","{""amount"":-30}","","2026-06-14T17:52:44.897Z"
26,"A9","auto_fixed","Converted USD amount $-30 to INR ₹-2766.3 using historical rate 92.21 for date 2026-03-12.","{""amount"":-30,""currency"":""USD""}","{""currency"":""INR"",""amountInr"":-2766.3,""exchangeRate"":92.21}","","2026-06-14T17:52:44.897Z"
27,"A13","auto_fixed","Normalized non-standard date format 'Mar-14' to '2026-03-14'.","{""date"":""Mar-14""}","{""date"":""2026-03-14""}","","2026-06-14T17:52:44.897Z"
27,"A11","auto_fixed","Normalized inconsistent casing/whitespace in payer name from 'rohan' to 'Rohan'.","{""paid_by"":""rohan""}","{""paid_by"":""Rohan""}","","2026-06-14T17:52:44.897Z"
28,"A8","auto_fixed","Missing currency defaulted to home currency 'INR'.","{""currency"":""""}","{""currency"":""INR""}","","2026-06-14T17:52:44.897Z"
31,"A5","auto_fixed","Zero amount expense 'Dinner order Swiggy' was voided.","{""amount"":""0""}","{""amount"":0,""status"":""void""}","","2026-06-14T17:52:44.897Z"
32,"A18","auto_fixed","Normalized percentage split that did not sum to 100% (sum was 110%). Re-scaled to 100%.","{""split_details"":""Aisha 30%; Rohan 30%; Priya 30%; Meera 20%""}","{""split_details"":""Aisha 27.27%; Rohan 27.27%; Priya 27.27%; Meera 18.18%""}","","2026-06-14T17:52:44.897Z"
34,"A14","review_required","Row 34 ('Deep cleaning service'): Date '04-05-2026' is ambiguous (5-April vs 4-May).","{""id"":""A14-row-34"",""type"":""ambiguous_date"",""options"":[{""id"":""date_april_5"",""label"":""Set date to 5 April 2026""},{""id"":""date_may_4"",""label"":""Set date to 4 May 2026""}],""summary"":""Row 34 ('Deep cleaning service'): Date '04-05-2026' is ambiguous (5-April vs 4-May)."",""row_refs"":[34],""recommended_option_id"":""date_april_5""}","","Set date to 5 April 2026","2026-06-14T17:52:44.909Z"
36,"A15","review_required","Row 36 ('Groceries BigBasket'): Meera is in split but left the flat on March 31, 2026.","{""id"":""A15-row-36"",""type"":""membership_inconsistency"",""options"":[{""id"":""remove_member"",""label"":""Remove Meera from this split calculation""},{""id"":""keep_member"",""label"":""Keep Meera in this split (e.g. legacy/guest cost)""}],""summary"":""Row 36 ('Groceries BigBasket'): Meera is in split but left the flat on March 31, 2026."",""row_refs"":[36],""recommended_option_id"":""remove_member""}","","Remove Meera from split","2026-06-14T17:52:44.911Z"
38,"A16","review_required","Row 38 ('Sam deposit share'): Logged as expense but notes suggest it is a transfer/deposit.","{""id"":""A16-row-38"",""type"":""settlement_or_transfer"",""options"":[{""id"":""convert_to_transfer"",""label"":""Record as direct Transfer (Deposit)""},{""id"":""keep_as_expense"",""label"":""Keep as shared Expense""}],""summary"":""Row 38 ('Sam deposit share'): Logged as expense but notes suggest it is a transfer/deposit."",""row_refs"":[38],""recommended_option_id"":""convert_to_transfer""}","","Record as direct Transfer","2026-06-14T17:52:44.913Z"
42,"A19","auto_fixed","Conflict: split_type is 'equal' but split_details was provided. Ignored split_details for calculations.","{""split_type"":""equal"",""split_details"":""Aisha 1; Rohan 1; Priya 1; Sam 1""}","{""split_type"":""equal"",""split_details"":""""}","","2026-06-14T17:52:44.897Z"